category,category_rank,example_id,horizon,entity,slot_index,faction,feature_index,feature,actual,predicted,abs_error,start_value,target_change_from_start,predicted_change_from_start
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,0,hp,1.0,1.0751953125,0.0751953125,1.0,0.0,0.0751953125
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,1,cooldown_or_energy,0.0,0.04620361328125,0.04620361328125,0.0,0.0,0.04620361328125
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,2,dx,-0.13884374499320984,-0.06671142578125,0.07213231921195984,-0.13884374499320984,0.0,0.07213231921195984
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,3,dy,-0.20605838298797607,-0.134033203125,0.07202517986297607,-0.20605838298797607,0.0,0.07202517986297607
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,4,shield,0.0,-0.03338623046875,0.03338623046875,0.0,0.0,-0.03338623046875
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,5,dynamic_5,0.0,0.0506591796875,0.0506591796875,0.0,0.0,0.0506591796875
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,6,dynamic_6,0.0,0.003421783447265625,0.003421783447265625,0.0,0.0,0.003421783447265625
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,7,dynamic_7,1.0,1.1787109375,0.1787109375,1.0,0.0,0.1787109375
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,8,dynamic_8,0.0,-0.06134033203125,0.06134033203125,0.0,0.0,-0.06134033203125
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,9,dynamic_9,0.0,-0.00032711029052734375,0.00032711029052734375,0.0,0.0,-0.00032711029052734375
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,10,dynamic_10,0.0,0.025665283203125,0.025665283203125,0.0,0.0,0.025665283203125
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,11,dynamic_11,0.0,-0.11077880859375,0.11077880859375,0.0,0.0,-0.11077880859375
good_eventful,2,ep00702_t0003_item014452,1,A0,0,ally,12,dynamic_12,0.0,-0.016143798828125,0.016143798828125,0.0,0.0,-0.016143798828125
