label,source_npz,episode_index,valid_transitions,rollout_window,rollout_horizon,timesteps_evaluated,reconstruction_mse,reconstruction_mae,one_step_mse,one_step_mae,open_loop_mse,open_loop_mae,open_loop_last_step_mse,one_step_last_step_mse
train,data/r2_general_2100_full/train/shard_02/r2g_train_0083.npz,0,46,20,5,25,0.0007444245275110006,0.014632457867264748,0.0010111707961186767,0.015869952738285065,0.003921553026884794,0.021683869883418083,0.0056250873021781445,0.001224470091983676
validation,data/r2_general_2100_full/validation/shard_03/r2g_validation_1300.npz,0,56,20,5,25,0.0021212378051131964,0.02458927221596241,0.0024391820188611746,0.024323197081685066,0.004904038738459349,0.030212901532649994,0.009814933873713017,0.00228763185441494
