target_timestep,entity,faction,action_id_if_ally,observed_at_input_t,observed_at_target_t,actual_hp,one_step_hp,open_loop_hp,one_abs_err_hp,open_abs_err_hp,actual_shield,one_step_shield,open_loop_shield,one_abs_err_shield,open_abs_err_shield,actual_cooldown_or_energy,one_step_cooldown_or_energy,open_loop_cooldown_or_energy,one_abs_err_cooldown_or_energy,open_abs_err_cooldown_or_energy,actual_dx,one_step_dx,open_loop_dx,one_abs_err_dx,open_abs_err_dx,actual_dy,one_step_dy,open_loop_dy,one_abs_err_dy,open_abs_err_dy
10,A0,ally,2,True,True,1.0,1.013436,0.981527,0.013436,0.018473,0.1,0.459819,0.904343,0.359819,0.804343,0.300373,0.193377,0.07052,0.106996,0.229853,-0.261776,-0.298989,-0.328477,0.037213,0.0667,-0.035176,-0.073894,-0.024083,0.038718,0.011093
10,A1,ally,1,True,True,1.0,0.990877,1.000766,0.009123,0.000766,1.0,0.983694,0.951333,0.016306,0.048667,0.0,0.001297,-0.003987,0.001297,0.003987,-0.328395,-0.312152,-0.396197,0.016243,0.067802,-0.138717,-0.132534,-0.118289,0.006183,0.020429
10,A2,ally,2,True,True,1.0,0.982992,0.967961,0.017008,0.032039,1.0,1.00274,0.973498,0.00274,0.026502,0.0,0.0292,0.034442,0.0292,0.034442,-0.432008,-0.41409,-0.403705,0.017918,0.028303,0.077926,0.078553,0.100194,0.000627,0.022268
10,A3,ally,7,True,True,1.0,1.038234,1.042588,0.038234,0.042588,0.775,0.543616,0.731344,0.231384,0.043656,0.673507,0.346754,0.312936,0.326754,0.360571,-0.322616,-0.327108,-0.29494,0.004492,0.027675,-0.020569,0.027464,0.096425,0.048033,0.116995
10,E0,enemy,,True,True,1.0,1.006193,1.01096,0.006193,0.01096,1.0,0.909235,0.932834,0.090765,0.067166,,,,,,-0.166346,-0.170439,-0.089538,0.004093,0.076808,0.036397,0.014486,-0.049496,0.021911,0.085893
10,E1,enemy,,True,True,1.0,1.010199,1.026183,0.010199,0.026183,0.775,0.907829,0.863463,0.132829,0.088463,,,,,,-0.148737,-0.177324,-0.131811,0.028587,0.016926,0.001528,-0.029479,-0.069571,0.031007,0.071099
10,E2,enemy,,True,True,1.0,1.017659,1.009799,0.017659,0.009799,0.775,0.759329,0.892843,0.015671,0.117843,,,,,,-0.137826,-0.159318,-0.119212,0.021491,0.018614,-0.036039,-0.060656,-0.121334,0.024617,0.085295
