target_timestep,entity,faction,action_id_if_ally,observed_at_input_t,observed_at_target_t,actual_hp,one_step_hp,open_loop_hp,one_abs_err_hp,open_abs_err_hp,actual_shield,one_step_shield,open_loop_shield,one_abs_err_shield,open_abs_err_shield,actual_cooldown_or_energy,one_step_cooldown_or_energy,open_loop_cooldown_or_energy,one_abs_err_cooldown_or_energy,open_abs_err_cooldown_or_energy,actual_dx,one_step_dx,open_loop_dx,one_abs_err_dx,open_abs_err_dx,actual_dy,one_step_dy,open_loop_dy,one_abs_err_dy,open_abs_err_dy
2,A0,ally,3,True,True,1.0,0.977164,0.976891,0.022836,0.023109,1.0,1.007654,1.009437,0.007654,0.009437,0.0,-0.030831,-0.024226,0.030831,0.024226,-0.250527,-0.266699,-0.26647,0.016172,0.015943,-0.115669,-0.13843,-0.147824,0.022761,0.032155
2,A1,ally,1,True,True,1.0,0.997386,1.001037,0.002614,0.001037,1.0,1.017543,1.01715,0.017543,0.01715,0.0,-0.001678,-0.003104,0.001678,0.003104,-0.277501,-0.285467,-0.280872,0.007966,0.003372,-0.132825,-0.134056,-0.141474,0.001231,0.008649
2,A2,ally,2,True,True,1.0,0.964572,0.965898,0.035428,0.034102,1.0,1.000986,0.998071,0.000986,0.001929,0.0,-0.005228,-0.014246,0.005228,0.014246,-0.293656,-0.307449,-0.307872,0.013793,0.014216,0.064469,0.087945,0.08972,0.023476,0.025252
2,A3,ally,1,True,True,1.0,0.953863,0.956894,0.046137,0.043106,1.0,1.093834,1.088655,0.093834,0.088655,0.0,-0.02526,-0.038775,0.02526,0.038775,-0.253031,-0.262437,-0.26672,0.009405,0.013688,0.064469,0.1003,0.111176,0.035831,0.046707
2,E0,enemy,,True,True,1.0,1.01773,1.017597,0.01773,0.017597,1.0,0.981061,0.981641,0.018939,0.018359,,,,,,0.182087,0.101108,0.099699,0.080979,0.082389,0.016031,-0.024685,-0.02083,0.040716,0.036861
2,E1,enemy,,True,True,1.0,1.025027,1.024124,0.025027,0.024124,1.0,0.998287,0.980929,0.001713,0.019071,,,,,,0.141461,0.075669,0.080019,0.065791,0.061442,0.01211,-0.028501,-0.028415,0.040611,0.040524
2,E2,enemy,,True,True,1.0,1.027252,1.031205,0.027252,0.031205,1.0,1.000805,1.002679,0.000805,0.002679,,,,,,0.182087,0.063627,0.055174,0.11846,0.126914,-0.023031,-0.058413,-0.064357,0.035382,0.041325
