target_timestep,entity,faction,action_id_if_ally,observed_at_input_t,observed_at_target_t,actual_hp,one_step_hp,open_loop_hp,one_abs_err_hp,open_abs_err_hp,actual_shield,one_step_shield,open_loop_shield,one_abs_err_shield,open_abs_err_shield,actual_cooldown_or_energy,one_step_cooldown_or_energy,open_loop_cooldown_or_energy,one_abs_err_cooldown_or_energy,open_abs_err_cooldown_or_energy,actual_dx,one_step_dx,open_loop_dx,one_abs_err_dx,open_abs_err_dx,actual_dy,one_step_dy,open_loop_dy,one_abs_err_dy,open_abs_err_dy
20,A0,ally,0,False,False,0.0,0.839899,0.790404,0.839899,0.790404,0.0,-0.111786,-0.094091,0.111786,0.094091,0.0,1.486537,1.55192,1.486537,1.55192,0.0,-0.264995,-0.24952,0.264995,0.24952,0.0,-0.109987,-0.17472,0.109987,0.17472
20,A1,ally,7,True,True,1.0,0.808993,0.905596,0.191007,0.094404,0.1,0.065615,0.151424,0.034385,0.051424,0.953358,0.30691,0.249291,0.646448,0.704067,-0.263863,-0.288647,-0.311234,0.024783,0.04737,0.054877,0.060215,0.127514,0.005339,0.072637
20,A2,ally,3,True,True,1.0,0.996019,0.969502,0.003981,0.030498,1.0,0.974104,0.991534,0.025896,0.008466,0.0,0.065094,0.051227,0.065094,0.051227,-0.377164,-0.368667,-0.313485,0.008497,0.063679,0.075063,0.089522,0.096809,0.014459,0.021746
20,A3,ally,2,True,True,1.0,1.058747,0.586864,0.058747,0.413136,0.775,0.564392,0.06444,0.210608,0.71056,0.0,0.079129,0.172575,0.079129,0.172575,-0.256376,-0.273754,-0.225683,0.017378,0.030694,0.016534,0.077044,0.122222,0.06051,0.105688
20,E0,enemy,,True,True,1.0,1.004124,1.006263,0.004124,0.006263,0.775,0.713843,0.75131,0.061157,0.02369,,,,,,-0.166346,-0.189216,-0.130517,0.02287,0.035829,0.036397,0.019593,-0.023987,0.016804,0.060384
20,E1,enemy,,True,True,1.0,1.027017,1.029659,0.027017,0.029659,0.55,0.731828,0.494469,0.181828,0.055531,,,,,,-0.148737,-0.174058,-0.215451,0.025321,0.066714,0.001528,-0.004627,-0.032548,0.006155,0.034076
20,E2,enemy,,True,True,1.0,1.035645,1.028052,0.035645,0.028052,0.55,0.483471,0.596185,0.066529,0.046185,,,,,,-0.137826,-0.173293,-0.170038,0.035467,0.032212,-0.036039,-0.047294,-0.071034,0.011255,0.034995
