category,category_rank,example_id,horizon,entity,slot_index,faction,feature_index,feature,actual,predicted,abs_error,start_value,target_change_from_start,predicted_change_from_start
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,0,hp,0.8080000281333923,0.7431640625,0.06483596563339233,0.8080000281333923,0.0,-0.06483596563339233
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,1,cooldown_or_energy,0.0,0.0360107421875,0.0360107421875,0.0,0.0,0.0360107421875
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,2,dx,-0.37490642070770264,-0.369384765625,0.005521655082702637,-0.37490642070770264,0.0,0.005521655082702637
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,3,dy,-0.18649828433990479,-0.226806640625,0.040308356285095215,-0.18649828433990479,0.0,-0.040308356285095215
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,4,shield,0.0,-0.06512451171875,0.06512451171875,0.0,0.0,-0.06512451171875
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,5,dynamic_5,0.0,0.0030117034912109375,0.0030117034912109375,0.0,0.0,0.0030117034912109375
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,6,dynamic_6,1.0,1.0107421875,0.0107421875,1.0,0.0,0.0107421875
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,7,dynamic_7,0.0,0.01009368896484375,0.01009368896484375,0.0,0.0,0.01009368896484375
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,8,dynamic_8,0.0,0.016510009765625,0.016510009765625,0.0,0.0,0.016510009765625
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,9,dynamic_9,0.0,0.0001926422119140625,0.0001926422119140625,0.0,0.0,0.0001926422119140625
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,10,dynamic_10,0.0,-0.0247802734375,0.0247802734375,0.0,0.0,-0.0247802734375
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,11,dynamic_11,0.0,-0.0296630859375,0.0296630859375,0.0,0.0,-0.0296630859375
late_rollout_drift,2,ep00199_t0093_item004817,1,A0,0,ally,12,dynamic_12,0.0,-0.007717132568359375,0.007717132568359375,0.0,0.0,-0.007717132568359375
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,0,hp,1.0,0.93505859375,0.06494140625,1.0,0.0,-0.06494140625
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,1,cooldown_or_energy,0.0,-0.0509033203125,0.0509033203125,0.0,0.0,-0.0509033203125
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,2,dx,-0.38442638516426086,-0.359130859375,0.025295525789260864,-0.39716416597366333,0.012737780809402466,0.03803330659866333
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,3,dy,-0.15262725949287415,-0.2274169921875,0.07478973269462585,-0.17562633752822876,0.022999078035354614,-0.05179065465927124
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,4,shield,0.0,-0.048828125,0.048828125,0.0,0.0,-0.048828125
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,5,dynamic_5,0.0,-0.01377105712890625,0.01377105712890625,0.0,0.0,-0.01377105712890625
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,6,dynamic_6,1.0,0.9921875,0.0078125,1.0,0.0,-0.0078125
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,7,dynamic_7,0.0,0.096923828125,0.096923828125,0.0,0.0,0.096923828125
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,8,dynamic_8,0.0,-0.030364990234375,0.030364990234375,0.0,0.0,-0.030364990234375
late_rollout_drift,2,ep00199_t0093_item004817,1,A1,1,ally,9,dynamic_9,0.0,0.000972747802734375,0.000972747802734375,0.0,0.0,0.000972747802734375
