timestep,valid_entities,recon_mse,recon_mae,one_step_mse,one_step_mae,open_loop_mse,open_loop_mae
1,7,0.0007586469291709363,0.017027584835886955,0.0007979402435012162,0.017147745937108994,0.0007979402435012162,0.017147745937108994
2,7,0.0006001486326567829,0.016032017767429352,0.0005137956468388438,0.014584931544959545,0.0005576913245022297,0.01511580590158701
3,7,0.0004755228292196989,0.015364204533398151,0.0003887659404426813,0.013687736354768276,0.000434740970376879,0.01416349969804287
4,7,0.0003909689839929342,0.013843389227986336,0.00030536248232237995,0.012476853094995022,0.00037193248863331974,0.013447596691548824
5,7,0.00034911304828710854,0.01323776412755251,0.00027832991327159107,0.012103677727282047,0.0003938055888283998,0.013638297095894814
6,7,0.00035679139546118677,0.012919855304062366,0.0003470238880254328,0.013170658610761166,0.0005136212566867471,0.014762272126972675
7,7,0.000408944149967283,0.013725277967751026,0.0006061779567971826,0.014477865770459175,0.0008414768381044269,0.01677124761044979
8,7,0.000417540519265458,0.014333902858197689,0.0005335572059266269,0.014150966890156269,0.001024923287332058,0.017633194103837013
9,7,0.0010408979142084718,0.015408428385853767,0.00159575161524117,0.018107697367668152,0.0027431787457317114,0.021481016650795937
10,7,0.0014282625634223223,0.01616000197827816,0.002018734347075224,0.017184128984808922,0.005233908537775278,0.023330645635724068
11,7,0.0006579545442946255,0.015104943886399269,0.0011527641909196973,0.016542138531804085,0.005284251645207405,0.022909630089998245
12,7,0.0006356642697937787,0.01523819100111723,0.001333689666353166,0.0173549335449934,0.005178403574973345,0.023955242708325386
13,7,0.0005500270053744316,0.014957312494516373,0.0010323547758162022,0.017415490001440048,0.006220047827810049,0.026171978563070297
14,7,0.0006014928803779185,0.015507887117564678,0.0008696279837749898,0.016256501898169518,0.0068001155741512775,0.02687162347137928
15,7,0.0010057473555207253,0.01617230847477913,0.001309051876887679,0.01889416202902794,0.007715919986367226,0.028920378535985947
16,6,0.0005171233788132668,0.014573991298675537,0.0006518086302094162,0.015160727314651012,0.0035554985515773296,0.02264382876455784
17,6,0.0005077339010313153,0.014767906628549099,0.0007242493447847664,0.014937940053641796,0.003723938949406147,0.022709110751748085
18,6,0.0018422934226691723,0.015787186101078987,0.0018371047917753458,0.018919292837381363,0.005358782131224871,0.025188220664858818
19,6,0.0005601081647910178,0.013061508536338806,0.0008423374383710325,0.016161471605300903,0.004765811841934919,0.02346271276473999
20,6,0.00302479462698102,0.01708587259054184,0.0038135831709951162,0.021090345457196236,0.008307283744215965,0.02807592786848545
21,6,0.0011867958819493651,0.014442086219787598,0.0010855549480766058,0.016380738466978073,0.006126532331109047,0.026174716651439667
22,6,0.00041120543028227985,0.01279829815030098,0.0008443684782832861,0.01572427712380886,0.006779694464057684,0.027067294344305992
23,6,0.00035056090564467013,0.01226186566054821,0.0009162223432213068,0.015990134328603745,0.006902605295181274,0.02607058919966221
24,6,0.0003333096392452717,0.011585594154894352,0.0006040814332664013,0.014174809679389,0.005233514588326216,0.024148497730493546
25,6,0.0004470743297133595,0.013489711098372936,0.001224470091983676,0.015402575023472309,0.0056250873021781445,0.02505861222743988
