target_timestep,entity,slot_idx,faction,feature_idx,feature,feature_group,actual,reconstruction,one_step,open_loop,one_step_abs_error,open_loop_abs_error
17,A0,0,ally,0,hp,health_shield,0.0,0.901228,-0.065757,0.424476,0.065757,0.424476
22,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.391325,-0.414592,0.391325,0.414592
23,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.395438,-0.413429,0.395438,0.413429
20,A3,3,ally,0,hp,health_shield,1.0,1.009054,1.058747,0.586864,0.058747,0.413136
25,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.389125,-0.410792,0.389125,0.410792
21,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.381684,-0.401848,0.381684,0.401848
24,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.380249,-0.398872,0.380249,0.398872
20,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.365536,-0.394378,0.365536,0.394378
12,A3,3,ally,4,shield,health_shield,0.775,0.698987,0.572094,0.381701,0.202906,0.393299
9,A0,0,ally,4,shield,health_shield,0.55,0.619133,0.721634,0.925604,0.171634,0.375604
18,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.320917,-0.361222,0.320917,0.361222
10,A3,3,ally,1,cooldown_or_energy,cooldown,0.673507,0.276773,0.346754,0.312936,0.326754,0.360571
19,A0,0,ally,6,unit_type_1,unit_type,0.0,0.122022,-0.34027,-0.344653,0.34027,0.344653
19,A3,3,ally,0,hp,health_shield,1.0,0.995828,1.055676,0.672525,0.055676,0.327475
